@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}

@data
1,'2018/05/21 00:14:40:671',3,1879,1009,947,1
2,'2018/05/21 00:14:40:685',3,1876,1006,949,1
3,'2018/05/21 00:14:40:733',3,1873,1008,947,1
4,'2018/05/21 00:14:40:788',3,1872,1014,947,1
5,'2018/05/21 00:14:40:789',3,1872,1014,947,1
6,'2018/05/21 00:14:40:869',3,1872,1015,946,1
7,'2018/05/21 00:14:40:918',3,1878,1015,944,1
8,'2018/05/21 00:14:40:919',3,1887,1014,942,1
9,'2018/05/21 00:14:40:973',3,1887,1017,944,1
10,'2018/05/21 00:14:41:048',3,1892,1019,944,1
11,'2018/05/21 00:14:41:048',3,1887,1018,946,1
12,'2018/05/21 00:14:41:116',3,1892,1018,948,1
13,'2018/05/21 00:14:41:186',3,1896,1021,946,1
14,'2018/05/21 00:14:41:187',3,1920,1024,947,1
15,'2018/05/21 00:14:41:235',3,1921,1034,949,1
16,'2018/05/21 00:14:41:303',3,1931,1038,953,1
17,'2018/05/21 00:14:41:356',3,1925,1040,952,1
18,'2018/05/21 00:14:41:356',3,1913,1043,953,1
19,'2018/05/21 00:14:41:423',3,1912,1041,949,1
20,'2018/05/21 00:14:41:500',3,1907,1040,947,1
21,'2018/05/21 00:14:41:501',3,1910,1041,947,1
22,'2018/05/21 00:14:41:554',3,1911,1057,953,1
23,'2018/05/21 00:14:41:620',3,1910,1073,960,1
24,'2018/05/21 00:14:41:620',3,1904,1080,964,1
25,'2018/05/21 00:14:41:687',3,1897,1082,968,1
26,'2018/05/21 00:14:41:751',3,1878,1073,962,1
27,'2018/05/21 00:14:41:751',3,1877,1057,954,1
28,'2018/05/21 00:14:41:824',3,1867,1052,950,1
29,'2018/05/21 00:14:41:824',3,1858,1038,949,1
30,'2018/05/21 00:14:41:913',3,1848,1033,946,1
31,'2018/05/21 00:14:41:913',3,1837,1031,948,1
32,'2018/05/21 00:14:41:982',3,1830,1030,945,1
33,'2018/05/21 00:14:42:030',3,1827,1025,943,1
34,'2018/05/21 00:14:42:088',3,1830,1024,943,1
35,'2018/05/21 00:14:42:088',3,1830,1023,943,1
36,'2018/05/21 00:14:42:277',3,1834,1021,943,1
37,'2018/05/21 00:14:42:277',3,1829,1024,945,1
38,'2018/05/21 00:14:42:279',3,1829,1027,945,1
39,'2018/05/21 00:14:42:279',3,1831,1032,945,1
40,'2018/05/21 00:14:42:334',3,1834,1035,945,1
41,'2018/05/21 00:14:42:397',3,1835,1035,943,1
42,'2018/05/21 00:14:42:397',3,1837,1028,946,1
43,'2018/05/21 00:14:42:455',3,1837,1002,943,1
44,'2018/05/21 00:14:42:534',3,1837,965,934,1
45,'2018/05/21 00:14:42:534',3,1836,934,929,1
46,'2018/05/21 00:14:42:595',3,1842,910,918,1
47,'2018/05/21 00:14:42:680',3,1839,898,911,1
48,'2018/05/21 00:14:42:680',3,1836,892,911,1
49,'2018/05/21 00:14:42:734',3,1839,895,909,1
50,'2018/05/21 00:14:42:799',3,1833,897,909,1
51,'2018/05/21 00:14:42:799',3,1832,898,911,1
52,'2018/05/21 00:14:42:849',3,1836,903,907,1
53,'2018/05/21 00:14:42:918',3,1840,902,904,1
54,'2018/05/21 00:14:42:918',3,1846,915,905,1
55,'2018/05/21 00:14:42:965',3,1861,942,904,1
56,'2018/05/21 00:14:43:036',3,1863,982,906,1
57,'2018/05/21 00:14:43:036',3,1862,1007,907,1
58,'2018/05/21 00:14:43:088',3,1861,1010,905,1
59,'2018/05/21 00:14:43:148',3,1868,1004,902,1
60,'2018/05/21 00:14:43:218',3,1868,997,902,1
61,'2018/05/21 00:14:43:218',3,1871,983,905,1
62,'2018/05/21 00:14:43:265',3,1869,964,906,1
63,'2018/05/21 00:14:43:324',3,1861,939,905,1
64,'2018/05/21 00:14:43:332',3,1858,919,905,1
65,'2018/05/21 00:14:43:405',3,1851,907,903,1
66,'2018/05/21 00:14:43:464',3,1855,897,904,1
67,'2018/05/21 00:14:43:464',3,1853,892,910,1
68,'2018/05/21 00:14:43:537',3,1854,893,908,1
69,'2018/05/21 00:14:43:599',3,1849,897,906,1
70,'2018/05/21 00:14:43:599',3,1849,901,908,1
71,'2018/05/21 00:14:43:656',3,1848,903,906,1
72,'2018/05/21 00:14:43:712',3,1847,918,908,1
